day,background_percentage,fouling_percentage
1,99.854526749,0.145473251
2,98.865432099,1.134567901
3,98.079886831,1.920113169
4,97.435185185,2.564814815
5,96.972222222,3.027777778
6,96.24526749,3.75473251
7,95.626903292,4.373096708
8,94.911213992,5.088786008
9,94.287242798,5.712757202
10,93.657613169,6.342386831
11,92.96090535,7.03909465
12,92.354835391,7.645164609
13,91.983590535,8.016409465
14,91.499485597,8.500514403
15,91.137911523,8.862088477
16,90.396296296,9.603703704
17,89.960648148,10.039351852
18,89.673765432,10.326234568
19,89.223713992,10.776286008
20,88.883796296,11.116203704
21,99.749176955,0.250823045
22,98.577469136,1.422530864
23,97.384156379,2.615843621
24,96.434876543,3.565123457
25,95.476748971,4.523251029
26,94.295216049,5.704783951
27,93.367541152,6.632458848
28,92.144238683,7.855761317
29,91.525462963,8.474537037
30,90.458127572,9.541872428
31,89.711213992,10.288786008
32,88.662139918,11.337860082
33,87.310648148,12.689351852
34,86.395781893,13.604218107
35,85.313631687,14.686368313
36,84.633847737,15.366152263
37,84.06244856,15.93755144
38,83.436471193,16.563528807
39,82.484979424,17.515020576
40,82.079989712,17.920010288
41,100.0,0.0
42,99.997427984,0.002572016
43,99.955298354,0.044701646
44,99.877623457,0.122376543
45,99.84058642,0.15941358
46,99.800462963,0.199537037
47,99.600308642,0.399691358
48,99.440277778,0.559722222
49,99.439248971,0.560751029
50,99.191306584,0.808693416
51,99.1125,0.8875
52,99.070421811,0.929578189
53,98.996347737,1.003652263
54,98.872839506,1.127160494
55,98.719547325,1.280452675
56,98.541306584,1.458693416
57,98.356018519,1.643981481
58,98.317644033,1.682355967
59,98.010185185,1.989814815
60,97.787962963,2.212037037
